68.5  0.99876481 0.00016266 0.00000210 0.00020055 0.00003515 0.00006479 0.00017627 0.00020770 0.00002565 0.00036032  1.00000000
69.0  0.99880726 0.00008615 0.00000074 0.00022317 0.00001513 0.00006787 0.00027398 0.00018118 0.00002125 0.00032325  1.00000000
69.5  0.99873398 0.00011586 0.00000256 0.00022181 0.00003474 0.00006520 0.00025976 0.00017552 0.00002711 0.00036347  1.00000000
70.0  0.99891685 0.00006557 0.00000082 0.00017840 0.00004265 0.00006769 0.00015919 0.00015983 0.00002887 0.00038014  1.00000000
70.5  0.99896025 0.00006400 0.00000469 0.00018326 0.00003549 0.00006323 0.00015887 0.00012507 0.00002819 0.00037696  1.00000000
71.0  0.99894416 0.00004121 0.00000059 0.00021246 0.00005352 0.00006440 0.00018564 0.00009516 0.00002662 0.00037623  1.00000000
71.5  0.99879076 0.00002383 0.00000338 0.00021881 0.00005644 0.00006518 0.00019085 0.00009924 0.00003540 0.00051612  1.00000000
72.0  0.99886552 0.00001962 0.00000025 0.00021365 0.00003802 0.00006345 0.00015798 0.00009546 0.00002648 0.00051958  1.00000000
72.5  0.99880684 0.00000311 0.00000367 0.00021085 0.00005502 0.00006315 0.00016270 0.00005435 0.00002557 0.00061473  1.00000000
73.0  0.99872589 0.00000364 0.00000064 0.00020553 0.00005329 0.00007097 0.00019115 0.00006472 0.00003258 0.00065161  1.00000000
73.5  0.99873294 0.00000399 0.00000434 0.00018544 0.00004984 0.00006459 0.00019741 0.00007613 0.00003141 0.00065392  1.00000000
74.0  0.99869747 0.00000153 0.00000199 0.00017533 0.00003754 0.00010115 0.00015273 0.00008796 0.00002449 0.00071981  1.00000000
74.5  0.99876706 0.00002541 0.00000249 0.00010031 0.00004691 0.00011396 0.00015095 0.00004769 0.00002222 0.00072299  1.00000000
75.0  0.99894001 0.00001611 0.00000321 0.00010880 0.00005389 0.00006490 0.00022740 0.00001979 0.00000119 0.00056471  1.00000000
75.5  0.99901583 0.00006697 0.00000538 0.00011529 0.00003748 0.00005978 0.00010408 0.00009194 0.00000063 0.00050262  1.00000000
76.0  0.99894910 0.00005176 0.00000531 0.00013872 0.00005798 0.00004306 0.00012133 0.00005734 0.00000557 0.00056983  1.00000000
76.5  0.99875499 0.00010833 0.00000512 0.00015874 0.00007616 0.00015341 0.00010240 0.00004942 0.00002232 0.00056910  1.00000000
77.0  0.99877143 0.00010508 0.00000648 0.00020255 0.00006980 0.00021994 0.00001227 0.00006371 0.00002038 0.00052837  1.00000000
77.5  0.99884774 0.00014459 0.00000471 0.00020779 0.00009669 0.00013629 0.00000659 0.00005627 0.00001441 0.00048493  1.00000000
78.0  0.99891471 0.00015157 0.00000418 0.00017932 0.00009450 0.00018281 0.00000831 0.00005405 0.00004727 0.00036328  1.00000000
78.5  0.99888380 0.00016242 0.00000416 0.00014487 0.00009976 0.00017707 0.00001519 0.00005251 0.00000019 0.00046004  1.00000000
79.0  0.99872795 0.00018266 0.00000653 0.00013845 0.00016091 0.00012412 0.00001458 0.00004257 0.00004526 0.00055697  1.00000000
79.5  0.99875007 0.00015612 0.00000586 0.00022904 0.00017401 0.00011922 0.00001243 0.00003946 0.00002503 0.00048877  1.00000000
